iata,name,latitude, longitude,elevation_ft,continent,country,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code
BCN,Josep Tarradellas Barcelona-El Prat Airport,41.2971,2.07846,12.0,EU,Spain,ES,Catalonia,ES-CT,CT,Barcelona,1,LEBL
MAD,Adolfo Suárez Madrid–Barajas Airport,40.471926,-3.56264,1998.0,EU,Spain,ES,Madrid (community),ES-MD,MD,Madrid,1,LEMD
PMI,Palma de Mallorca Airport,39.551701,2.73881,27.0,EU,Spain,ES,Islas Baleares,ES-IB,IB,Palma de Mallorca,1,LEPA
AGP,Málaga-Costa del Sol Airport,36.6749,-4.49911,53.0,EU,Spain,ES,Andalucía,ES-AN,AN,Málaga,1,LEMG
LPA,Gran Canaria Airport,27.9319,-15.3866,78.0,AF,Spain,ES,Canary Islands,ES-CN,CN,Gran Canaria Island,1,GCLP
TFS,Tenerife Sur Airport,28.0445,-16.5725,209.0,AF,Spain,ES,Canary Islands,ES-CN,CN,Tenerife,1,GCTS
ALC,Alicante-Elche Miguel Hernández Airport,38.2822,-0.558156,142.0,EU,Spain,ES,Valencia (community),ES-VC,VC,Alicante,1,LEAL
VLC,Valencia Airport,39.4893,-0.481625,240.0,EU,Spain,ES,Valencia (community),ES-VC,VC,Valencia,1,LEVC
SVQ,Sevilla Airport,37.417999,-5.89311,112.0,EU,Spain,ES,Andalucía,ES-AN,AN,Sevilla,1,LEZL
GRO,Girona-Costa Brava Airport,41.904639,2.761774,468.0,EU,Spain,ES,Catalonia,ES-CT,CT,Girona,1,LEGE
IBZ,Ibiza Airport,38.872898,1.37312,24.0,EU,Spain,ES,Islas Baleares,ES-IB,IB,Ibiza (Eivissa),1,LEIB
ACE,César Manrique-Lanzarote Airport,28.945499,-13.6052,46.0,AF,Spain,ES,Canary Islands,ES-CN,CN,San Bartolomé,1,GCRR
BIO,Bilbao Airport,43.301102,-2.91061,138.0,EU,Spain,ES,Basque Country,ES-PV,PV,Bilbao,1,LEBB
FUE,Fuerteventura Airport,28.4527,-13.8638,85.0,AF,Spain,ES,Canary Islands,ES-CN,CN,El Matorral,1,GCFV
MAH,Menorca Airport,39.862598,4.21865,302.0,EU,Spain,ES,Islas Baleares,ES-IB,IB,Mahón (Maó),1,LEMH
SCQ,Santiago-Rosalía de Castro Airport,42.896301,-8.41514,1213.0,EU,Spain,ES,Galicia,ES-GA,GA,Santiago de Compostela,1,LEST
TFN,Tenerife Norte-Ciudad de La Laguna Airport,28.4827,-16.341499,2076.0,AF,Spain,ES,Canary Islands,ES-CN,CN,Tenerife,1,GCXO
XRY,Jerez Airport,36.744598,-6.06011,93.0,EU,Spain,ES,Andalucía,ES-AN,AN,Jerez de la Frontera,1,LEJR
REU,Reus Airport,41.1474,1.16717,233.0,EU,Spain,ES,Catalonia,ES-CT,CT,Reus,1,LERS
GRX,F.G.L. Airport Granada-Jaén Airport,37.188702,-3.77736,1860.0,EU,Spain,ES,Andalucía,ES-AN,AN,Granada,1,LEGR
LEI,Almería Airport,36.843899,-2.3701,70.0,EU,Spain,ES,Andalucía,ES-AN,AN,Almería,1,LEAM
SDR,Seve Ballesteros-Santander Airport,43.427101,-3.82001,16.0,EU,Spain,ES,Cantabria,ES-CB,CB,Santander,1,LEXJ
ZAZ,Zaragoza Airport,41.666199,-1.04155,863.0,EU,Spain,ES,Aragón,ES-AR,AR,Zaragoza,1,LEZG
EAS,San Sebastián Airport,43.356499,-1.79061,16.0,EU,Spain,ES,Basque Country,ES-PV,PV,Hondarribia,1,LESO
OVD,Asturias Airport,43.563599,-6.03462,416.0,EU,Spain,ES,Asturias,ES-AS,AS,Ranón,1,LEAS
VGO,Vigo Airport,42.2318,-8.62677,856.0,EU,Spain,ES,Galicia,ES-GA,GA,Vigo,1,LEVX
